Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
LN O'Connor,15,48,375,11,7.81,34.09,26.18,0,0,Mar-30,26,11,80
LP Goldsworthy,20,53,413,18,7.79,22.94,17.67,0,0,Mar-14,27,15,95
LS Livingstone,64,169.2,"1,380",55,8.15,25.09,18.47,1,0,Apr-23,77,65,310
LV van Beek,62,204.4,"1,709",62,8.35,27.56,19.81,1,0,Apr-17,171,49,463
M Ashwin,43,154.3,"1,111",38,7.19,29.24,24.39,0,0,Mar-16,72,40,324
M Carter,50,159.2,"1,213",49,7.61,24.76,19.51,0,0,Mar-14,79,47,323
M de Lange,50,157.4,"1,375",55,8.72,25,17.2,2,1,May-20,127,50,325
M Jansen,13,48,424,10,8.83,42.4,28.8,0,0,Mar-25,39,18,115
M Kelly,25,88.2,775,38,8.77,20.39,13.95,3,0,Apr-25,82,22,197
M Labuschagne,23,56,487,23,8.7,21.17,14.61,0,0,Mar-13,30,22,105
M Markande,12,37,280,9,7.57,31.11,24.67,0,0,Feb-25,20,9,68
M Mohammed,12,36,275,16,7.64,17.19,13.5,1,0,Apr-24,18,11,71
M Morkel,15,47.4,357,17,7.49,21,16.82,0,0,Mar-21,25,9,100
M Prasidh Krishna,45,165.5,"1,463",39,8.82,37.51,25.51,0,0,Mar-22,169,48,453
M Pretorius,10,37,354,16,9.57,22.12,13.88,2,0,Apr-32,29,21,86
M Theekshana,20,77,546,28,7.09,19.5,16.5,2,0,Apr-25,42,19,176
Mahedi Hasan,45,148.3,"1,050",34,7.07,30.88,26.21,1,0,Apr-22,89,48,426
Mahmudullah,28,60,423,17,7.05,24.88,21.18,0,0,02-Dec,21,21,135
Mashrafe Mortaza,35,128,939,41,7.34,22.9,18.73,1,1,May-35,88,30,316
MB Bacon,14,46.5,445,16,9.5,27.81,17.56,0,0,Mar-18,40,19,99
MD Fisher,17,55,482,20,8.76,24.1,16.5,0,0,Mar-21,53,15,120
MD Rae,15,51.2,498,15,9.7,33.2,20.53,0,0,Mar-23,46,21,96
MD Shanaka,16,37.4,390,10,10.35,39,22.6,0,0,Feb-34,37,15,60
MD Taylor,13,42,402,9,9.57,44.67,28,0,0,Mar-29,40,15,91
ME Milnes,38,121.3,"1,073",38,8.83,28.24,19.18,1,1,May-22,113,27,239
Mehedi Hasan Rana,21,72,599,32,8.32,18.72,13.5,3,0,Apr-17,59,21,176
Mehidy Hasan Miraz,43,138.3,"1,068",35,7.71,30.51,23.74,1,0,Apr-16,68,62,332
MG Bracewell,18,49,367,19,7.49,19.32,15.47,1,0,Apr-28,20,13,93
MG Hogan,12,43,346,16,8.05,21.62,16.12,0,1,May-18,35,10,95
MG Neser,33,110.4,875,36,7.91,24.31,18.44,0,0,Mar-13,76,25,242
MH McKiernan,19,57,420,17,7.37,24.71,20.12,0,0,03-Sep,35,13,121
MJ Fisher,11,34.5,310,9,8.9,34.44,23.22,0,0,Feb-21,30,11,90
MJ Henry,24,93.2,775,32,8.3,24.22,17.5,0,0,03-Nov,79,27,226
MJ McClenaghan,40,143.4,"1,299",44,9.04,29.52,19.59,0,0,Mar-23,116,56,312
MJ Potts,38,127.1,"1,057",47,8.31,22.49,16.23,0,0,03-Aug,106,34,297
MJ Santner,34,114.4,802,32,6.99,25.06,21.5,0,0,02-Oct,48,32,280
MJ Swepson,29,103.2,783,31,7.58,25.26,20,0,0,Mar-22,46,25,185
MJ Waite,15,39.1,394,12,10.06,32.83,19.58,0,0,Feb-17,33,17,71
MJG Rippon,37,131.2,"1,099",33,8.37,33.3,23.88,0,0,Mar-32,65,54,237
MJJ Critchley,47,164.1,"1,201",51,7.32,23.55,19.31,1,0,Apr-36,72,44,311
MK Andersson,13,36.3,351,17,9.62,20.65,12.88,0,0,Mar-32,29,13,78
MM Ali,69,179.3,"1,315",57,7.33,23.07,18.89,1,0,Apr-18,75,64,372
Mohammad Amir,79,295,"2,240",91,7.59,24.62,19.45,3,2,Jun-17,228,64,781
Mohammad Hafeez,54,140.1,976,32,6.96,30.5,26.28,0,0,Mar-18,59,46,324
Mohammad Hasnain,37,136.1,"1,132",52,8.31,21.77,15.71,2,0,Apr-25,120,42,360
Mohammad Ilyas,23,67.3,607,26,8.99,23.35,15.58,0,0,Mar-27,66,25,157
Mohammad Imran,14,51.3,433,10,8.41,43.3,30.9,0,0,Feb-47,43,13,107
Mohammad Irfan,52,205.5,"1,464",46,7.11,31.83,26.85,0,0,Mar-27,156,49,597
Mohammad Nabi,101,322.2,"2,216",80,6.87,27.7,24.18,2,1,May-15,127,80,682
Mohammad Nawaz(3),49,164,"1,282",45,7.82,28.49,21.87,0,0,Mar-22,97,63,370
Mohammad Saifuddin,16,57.5,460,23,7.95,20,15.09,1,0,Apr-22,41,18,152
Mohammad Wasim(1),19,67.3,644,20,9.54,32.2,20.25,1,0,Apr-31,72,23,137
Mohammed Shami,58,221.2,"1,812",78,8.19,23.23,17.03,0,0,Mar-15,193,65,579
Mohammed Siraj,48,158.1,"1,368",38,8.65,36,24.97,0,0,03-Aug,139,61,424
Mosaddek Hossain,29,73,512,17,7.01,30.12,25.76,0,0,02-Sep,32,20,149
MP Kuhnemann,16,46,354,11,7.7,32.18,25.09,0,0,Mar-47,25,12,85
MP Stoinis,46,97.3,894,38,9.17,23.53,15.39,1,0,Apr-21,67,43,181
MR Marsh,29,66.1,568,19,8.58,29.89,20.89,0,0,02-Oct,61,15,138
MR Quinn,26,87.1,703,26,8.07,27.04,20.12,0,0,Mar-20,71,13,186
MRJ Watt,15,58,482,17,8.31,28.35,20.47,1,0,Apr-19,41,18,109
MS Crane,43,149,"1,165",47,7.82,24.79,19.02,0,0,Mar-18,72,50,294
MT Steketee,27,98,898,39,9.16,23.03,15.08,1,0,Apr-33,79,45,232
MTC Waller,31,106.5,798,26,7.47,30.69,24.65,0,0,Mar-18,55,21,180
Muhammad Musa,18,58.4,546,19,9.31,28.74,18.53,0,0,Mar-18,56,28,140
Mujeeb Ur Rahman,101,386,"2,517",105,6.52,23.97,22.06,1,1,May-15,197,78,"1,079"
Mukesh Choudhary,17,58.3,513,20,8.77,25.65,17.55,1,0,Apr-46,56,19,160
Mukidul Islam,15,50.2,473,17,9.4,27.82,17.76,0,0,Mar-30,43,20,106
Muktar Ali,22,64.4,619,23,9.57,26.91,16.87,1,0,Apr-37,46,31,102
Mustafizur Rahman,67,251.1,"1,783",95,7.1,18.77,15.86,1,1,May-27,152,52,680
MW Parkinson,45,159.4,"1,247",61,7.81,20.44,15.7,1,0,Apr-30,61,55,269
MW Short,23,52,382,7,7.35,54.57,44.57,0,0,Feb-13,27,7,95
N McAndrew,36,113.4,"1,043",33,9.18,31.61,20.67,0,0,Mar-40,106,33,255
N Pradeep,15,50.2,466,18,9.26,25.89,16.78,0,0,Mar-31,46,20,111
N Thushara,13,41.4,343,16,8.23,21.44,15.62,0,1,May-13,45,6,110
NA Saini,30,103.4,900,20,8.68,45,31.1,0,0,Feb-24,96,37,274
NA Sowter,38,141.3,"1,101",46,7.78,23.93,18.46,1,0,Apr-29,77,35,267
Nabil Samad,11,37,209,9,5.65,23.22,24.67,0,0,Mar-20,15,8,108
Nahidul Islam,32,90.3,572,24,6.32,23.83,22.62,0,0,03-May,44,25,268
Naseem Shah,30,103.5,848,30,8.17,28.27,20.77,1,1,May-20,85,29,262
Nasum Ahmed,34,118,783,21,6.64,37.29,33.71,0,0,03-Sep,46,34,289
Naveen-ul-Haq,67,234.1,"1,903",88,8.13,21.62,15.97,2,1,05-Nov,177,60,546
Nayeem Hasan,27,88,634,22,7.2,28.82,24,0,0,Mar-21,47,36,234
Nazmul Islam,24,71.2,641,23,8.99,27.87,18.61,1,0,Apr-18,40,40,159
NG Smith,24,75.2,711,31,9.44,22.94,14.58,1,1,May-14,80,23,158
NJ Rimmington,21,73.2,567,24,7.73,23.62,18.33,0,0,Mar-15,43,11,134
NL Buck,20,53.3,506,15,9.46,33.73,21.4,1,0,Apr-29,50,19,107
NLTC Perera,52,129.2,"1,158",48,8.95,24.12,16.17,0,1,May-30,91,63,267
NM Coulter-Nile,47,169.5,"1,311",49,7.72,26.76,20.8,2,0,04-Oct,113,45,414
NM Lyon,11,37,293,8,7.92,36.62,27.75,0,0,Feb-19,18,10,66
Noor Ahmad,30,113.1,861,27,7.61,31.89,25.15,0,0,02-Dec,62,26,281
NT Ellis,49,175.2,"1,403",53,8,26.47,19.85,1,0,Apr-34,116,41,373
O Thomas,20,64,606,21,9.47,28.86,18.29,1,0,Apr-53,65,26,179
OC McCoy,24,84.5,753,41,8.88,18.37,12.41,2,1,May-33,61,30,206
OE Robinson,23,78,676,25,8.67,27.04,18.72,1,0,Apr-15,82,22,191
OF Smith,24,70.3,619,30,8.78,20.63,14.1,1,0,Apr-30,53,33,194
OP Stone,14,47,395,19,8.4,20.79,14.84,0,0,Mar-45,39,16,128
OR Newton,20,67.1,564,24,8.4,23.5,16.79,0,1,May-45,54,17,147
P Coughlin,23,68,671,26,9.87,25.81,15.69,1,0,Apr-15,76,22,140
P Hatzoglou,27,99.1,768,32,7.74,24,18.59,0,0,Mar-43,49,28,216
P Sisodiya,28,107,793,26,7.41,30.5,24.69,0,0,Mar-26,67,22,216
PA van Meekeren,18,63.1,588,20,9.31,29.4,18.95,0,0,Feb-23,54,26,146
PF Younghusband,24,72.3,506,20,6.98,25.3,21.75,0,0,Feb-16,23,20,142
PJ Cummins,27,102.4,886,30,8.63,29.53,20.53,1,0,Apr-34,82,39,252
PM Siddle,51,178.4,"1,408",71,7.88,19.83,15.1,1,2,May-16,130,43,407
PP Chawla,21,69.3,628,17,9.04,36.94,24.53,0,0,Mar-20,47,32,127
PR Brown,38,128.2,"1,214",38,9.46,31.95,20.26,0,0,Mar-27,113,46,240
PR Stirling,21,33.4,275,8,8.17,34.38,25.25,0,0,02-Feb,20,7,49
PVD Chameera,29,101.5,907,30,8.91,30.23,20.37,1,0,Apr-35,103,32,255
PWH de Silva,38,136,927,54,6.82,17.17,15.11,1,1,May-18,53,53,358
Qais Ahmad,86,314,"2,269",94,7.23,24.14,20.04,2,0,04-Dec,139,93,694
R Ashwin,59,217.4,"1,625",47,7.47,34.57,27.79,0,0,Mar-17,95,64,418
R Dhawan,11,35.5,293,17,8.18,17.24,12.65,0,1,Jun-23,23,11,73
R Frylinck,22,79,590,31,7.47,19.03,15.29,2,0,Apr-14,53,24,218
R Parag,22,37.1,359,7,9.66,51.29,31.86,0,0,Feb-28,22,18,51
R Rampaul,28,108.4,816,48,7.51,17,13.58,1,0,Apr-29,69,29,274
R Ravindra,26,83.5,657,22,7.84,29.86,22.86,0,0,Mar-32,58,14,140
R Sai Kishore,18,67,388,23,5.79,16.87,17.48,1,0,Apr-28,21,10,172
R Shepherd,28,90.4,738,40,8.14,18.45,13.6,1,0,Apr-13,55,40,243
R Tewatia,40,107.2,880,24,8.2,36.67,26.83,0,0,Mar-25,45,48,197
RA Jadeja,55,172.2,"1,255",39,7.28,32.18,26.51,0,0,03-Sep,71,52,354
RA Reifer,25,67.1,576,29,8.58,19.86,13.9,1,0,Apr-24,42,26,146
Rahat Ali,17,60,478,19,7.97,25.16,18.95,1,0,Apr-29,44,17,142
RAJ Smith,15,55,437,14,7.95,31.21,23.57,0,0,Mar-21,50,11,141
RAS Lakmal,16,44.2,376,15,8.48,25.07,17.73,0,0,Feb-27,49,7,110
Rashid Khan,155,601,"3,961",195,6.59,20.31,18.49,3,2,Jun-17,276,129,"1,457"
Ravi Bishnoi,44,168.5,"1,243",46,7.36,27.02,22.02,0,0,Mar-24,93,46,385
RD Chahar,55,201.4,"1,495",61,7.41,24.51,19.84,1,1,May-14,92,67,449
RE van der Merwe,52,164.5,"1,303",46,7.9,28.33,21.5,1,1,May-32,87,48,276
Rehan Ahmed,11,39,287,13,7.36,22.08,18,0,0,03-Nov,21,8,73
RF Higgins,39,105,974,44,9.28,22.14,14.32,1,0,Apr-34,78,39,180
RI Walker,13,41.5,388,17,9.27,22.82,14.76,0,0,Mar-15,40,11,96
RJ Gleeson,30,94.3,815,33,8.62,24.7,17.18,1,1,May-33,82,24,218
RJW Topley,42,143.5,"1,187",53,8.25,22.4,16.28,2,0,Apr-20,116,43,376
RL Chase,21,67,398,19,5.94,20.95,21.16,0,0,03-Dec,19,18,196
RM Hira,20,67.5,556,23,8.2,24.17,17.7,0,0,Mar-22,33,22,107
RP Meredith,51,182,"1,493",62,8.2,24.08,17.61,1,0,Apr-21,145,47,465
RR Emrit,32,111.4,952,37,8.53,25.73,18.11,0,0,Mar-23,73,46,264
RS Bopara,64,162.4,"1,256",41,7.72,30.63,23.8,0,0,03-Jul,89,40,304
RTM Mendis,14,39.2,299,13,7.6,23,18.15,0,0,Mar-21,22,12,84
Rubel Hossain,45,160,"1,151",56,7.19,20.55,17.14,2,0,Apr-23,110,36,410
Rumman Raees,20,64.3,585,17,9.07,34.41,22.76,0,0,Mar-27,56,23,138
S Conners,14,33.2,360,12,10.8,30,16.67,0,0,Mar-25,38,14,69
S Gopal,33,110.4,909,31,8.21,29.32,21.42,0,0,03-Dec,59,47,216
S Kaul,23,86,726,29,8.44,25.03,17.79,1,0,04-Jun,70,32,206
S Lamichhane,79,293.2,"2,111",88,7.2,23.99,20,1,0,04-Oct,143,89,686
S Mahmood,38,122,"1,058",52,8.67,20.35,14.08,2,0,Apr-22,118,35,299
S Nadeem,18,55.5,445,12,7.97,37.08,27.92,0,0,Feb-19,31,16,94
S Prasanna,29,75,578,21,7.71,27.52,21.43,0,0,Mar-31,42,24,159
S Sandeep Warrier,15,52.1,402,10,7.71,40.2,31.3,0,0,Feb-22,47,14,147
S Snater,16,43,447,10,10.4,44.7,25.8,0,0,Feb-22,50,15,81
S Steel,30,76,548,16,7.21,34.25,28.5,0,0,Mar-20,47,13,151
SA Abbott,39,138.2,"1,193",59,8.62,20.22,14.07,1,0,Apr-31,105,50,302
Salman Irshad,13,42,383,21,9.12,18.24,12,1,0,Apr-30,36,15,94
Sameen Gul,11,42,391,17,9.31,23,14.82,0,0,Mar-29,41,17,97
Sandeep Sharma,38,144.3,"1,134",34,7.85,33.35,25.5,0,0,Mar-19,103,39,327
SC Kuggeleijn,50,166.5,"1,450",60,8.69,24.17,16.68,3,0,Apr-18,145,56,420
SG Borthwick,22,62,517,15,8.34,34.47,24.8,0,0,Mar-34,41,17,105
SHA Rance,23,81.2,716,26,8.8,27.54,18.77,0,1,May-19,72,29,195
Shadab Khan,66,236,"1,785",77,7.56,23.18,18.39,2,1,May-28,116,90,537
Shafiqul Islam,15,54,430,20,7.96,21.5,16.2,0,0,Mar-31,38,18,141
Shafiul Islam,30,100.4,861,27,8.55,31.89,22.37,0,0,Mar-21,71,39,225
Shahbaz Ahmed,27,69,606,17,8.78,35.65,24.35,0,0,03-Jul,41,28,110
Shaheen Shah Afridi,50,192.5,"1,462",70,7.58,20.89,16.53,1,1,Jun-19,151,38,499
Shahid Afridi,50,163.4,"1,204",45,7.36,26.76,21.82,0,0,03-Oct,81,58,382
Shahidul Islam,22,77.5,588,34,7.55,17.29,13.74,2,0,Apr-17,58,18,201
Shahnawaz Dahani,16,54,514,23,9.52,22.35,14.09,0,0,Mar-19,49,27,127
Shakib Al Hasan,52,189.3,"1,269",54,6.7,23.5,21.06,1,0,Apr-16,78,64,499
Shivam Mavi,23,80.1,672,25,8.38,26.88,19.24,1,0,Apr-21,70,22,204
Shoaib Malik,59,118.1,789,20,6.68,39.45,35.45,0,0,Feb-13,49,30,279
Shohidul Islam,11,38.2,344,19,8.97,18.11,12.11,0,0,Mar-25,28,16,72
Shoriful Islam,29,99.3,924,33,9.29,28,18.09,1,0,Apr-34,85,48,233
Shuvagata Hom,23,46.4,370,20,7.93,18.5,14,0,0,Mar-13,20,25,111
Sikandar Raza,14,34,253,11,7.44,23,18.55,0,0,Mar-16,18,10,81
SJ Cook,31,98.4,792,35,8.03,22.63,16.91,1,0,Apr-15,98,17,246
SJ Croft,22,39,275,11,7.05,25,21.27,0,0,Feb-29,25,6,78
SJ Mullaney,32,78.4,611,24,7.77,25.46,19.67,0,0,Mar-33,33,21,117
SL Malinga,14,52.5,504,17,9.54,29.65,18.65,2,0,Apr-31,44,25,109
SL Rainbird,13,43,378,8,8.79,47.25,32.25,0,0,Feb-22,30,12,83
SM Boland,29,111.2,922,37,8.28,24.92,18.05,1,0,Apr-41,90,30,260
SM Curran,48,160.2,"1,466",54,9.14,27.15,17.81,2,1,May-30,142,50,341
SM Solia,20,47,459,9,9.77,51,31.33,0,0,Feb-16,53,12,87
SN Thakur,48,170.3,"1,556",54,9.13,28.81,18.94,1,0,Apr-36,148,59,381
SNJ O'Keefe,42,153,"1,051",49,6.87,21.45,18.73,2,0,Apr-14,65,33,317
Sohag Gazi,25,76,641,14,8.43,45.79,32.57,0,0,Feb-17,53,33,186
Sohail Khan,19,70,697,11,9.96,63.36,38.18,0,0,Feb-21,74,28,141
Sohail Tanvir,47,168.2,"1,300",50,7.72,26,20.2,2,0,Apr-13,125,47,446
Soumya Sarkar,28,68.1,614,20,9.01,30.7,20.45,0,0,02-Dec,48,26,117
SP Narine,113,429.3,"2,704",103,6.3,26.25,25.02,2,0,Apr-15,162,99,"1,101"
SR Harmer,50,172.5,"1,310",58,7.58,22.59,17.88,3,0,Apr-19,86,51,353
SR Patel,109,354.5,"2,566",96,7.23,26.73,22.18,1,0,04-May,183,91,752
SS Cottrell,28,95.3,799,29,8.37,27.55,19.76,0,0,Mar-13,79,35,269
ST Finn,49,166.4,"1,503",70,9.02,21.47,14.29,1,1,May-16,137,63,350
Sumon Khan,13,42,395,8,9.4,49.38,31.5,0,0,Feb-21,32,17,68
Sunzamul Islam,18,55,470,9,8.55,52.22,36.67,0,0,02-Apr,31,25,110
SW Currie,15,46,396,22,8.61,18,12.55,2,0,Apr-24,34,16,94
T Natarajan,32,123.5,"1,082",39,8.74,27.74,19.05,0,0,03-Oct,93,41,244
T Sangha,27,88,662,37,7.52,17.89,14.27,1,0,Apr-14,42,28,187
T Shamsi,21,76.1,612,26,8.04,23.54,17.58,0,0,Mar-16,28,24,112
T van der Gugten,19,60.4,552,22,9.1,25.09,16.55,0,0,Mar-16,50,22,119
TA Boult,58,218.3,"1,742",68,7.97,25.62,19.28,1,0,Apr-18,198,59,592
TA Lammonby,24,46,437,13,9.5,33.62,21.23,0,0,Feb-32,30,24,83
TAI Taylor,27,79.2,720,27,9.08,26.67,17.63,1,0,Apr-27,71,27,159
Taijul Islam,24,64,509,19,7.95,26.79,20.21,0,0,03-Oct,33,31,155
Tanvir Islam,19,62.3,471,19,7.54,24.79,19.74,0,0,Feb-19,34,24,155
Taskin Ahmed,33,112.3,980,45,8.71,21.78,15,3,0,Apr-28,103,36,270
TD Astle,30,109,770,22,7.06,35,29.73,0,0,02-Dec,50,23,222
TD Groenewald,11,35,294,12,8.4,24.5,17.5,0,0,Feb-22,23,10,55
TG Helm,41,133.3,"1,256",42,9.41,29.9,19.07,0,0,Mar-27,136,44,315
TG Southee,23,85.3,730,33,8.54,22.12,15.55,0,0,Mar-20,74,28,203
TH David,24,41.4,373,6,8.95,62.17,41.67,0,0,01-Apr,25,14,58
TK Curran,61,210,"1,914",83,9.11,23.06,15.18,1,0,Apr-22,165,70,408
TMJ Smith,44,141,"1,015",42,7.2,24.17,20.14,0,1,May-16,66,30,239
TS Mills,62,220.1,"1,770",82,8.04,21.59,16.11,1,0,Apr-32,175,62,556
TS Rogers,20,71.2,582,23,8.16,25.3,18.61,0,0,Mar-24,53,17,152
TS Roland-Jones,20,65.1,556,29,8.53,19.17,13.48,2,1,May-21,60,17,144
TT Bresnan,25,72.2,633,36,8.75,17.58,12.06,1,0,Apr-26,56,28,159
TW Hartley,39,127.5,914,35,7.15,26.11,21.91,1,0,Apr-16,56,27,243
Umaid Asif,32,116,"1,017",31,8.77,32.81,22.45,0,0,Mar-36,92,39,238
Umer Khan,15,51,397,19,7.78,20.89,16.11,0,0,Mar-22,28,19,113
Umran Malik,19,69.1,613,26,8.86,23.58,15.96,1,1,May-25,76,21,196
Usman Qadir,18,64,552,18,8.62,30.67,21.33,0,0,Mar-25,39,28,127
Usman Shinwari,32,110.5,961,34,8.67,28.26,19.56,1,0,Apr-15,90,38,250
UT Yadav,25,92.5,791,24,8.52,32.96,23.21,1,0,Apr-23,85,34,249
V Permaul,13,44.4,290,11,6.49,26.36,24.36,0,0,Feb-15,17,15,123
V Shankar,19,37.5,295,8,7.8,36.88,28.38,0,0,Feb-19,26,8,86
VG Arora,10,35.1,275,7,7.82,39.29,30.14,0,0,Mar-30,36,7,94
W Sutherland,23,53.3,517,14,9.66,36.93,22.93,0,0,Mar-13,49,18,98
WA Agar,36,125.1,"1,068",49,8.53,21.8,15.33,2,0,Apr-27,97,42,305
Wahab Riaz,91,331.3,"2,650",119,7.99,22.27,16.71,3,1,05-Aug,245,92,847
Waqar Salamkheil,10,36.3,277,12,7.59,23.08,18.25,0,0,Mar-17,15,19,92
Waqas Maqsood,20,70.1,605,27,8.62,22.41,15.59,1,0,Apr-35,49,24,140
Washington Sundar,32,103,729,21,7.08,34.71,29.43,0,0,Mar-24,43,30,215
WAT Beer,26,77,624,22,8.1,28.36,21,0,0,Mar-22,35,22,115
WD Parnell,27,93.2,823,23,8.82,35.78,24.35,1,0,Apr-25,84,29,194
WER Somerville,32,104.3,883,31,8.45,28.48,20.23,0,0,Mar-18,59,42,206
WG Jacks,33,70.5,505,21,7.13,24.05,20.24,1,0,Apr-15,38,18,167
WJ Weighell,17,40,413,5,10.32,82.6,48,0,0,Jan-17,41,17,68
WMH Rhodes,23,47,421,22,8.96,19.14,12.82,1,0,Apr-34,39,13,82
WS Davis,22,56.3,484,17,8.57,28.47,19.94,0,0,Mar-24,39,16,100
WSA Williams,27,70.1,662,26,9.43,25.46,16.19,0,1,05-Dec,46,31,113
XC Bartlett,22,68.1,567,23,8.32,24.65,17.78,1,0,Apr-30,56,14,165
Yasir Shah,13,40.4,354,9,8.7,39.33,27.11,0,0,Feb-28,25,20,90
YS Chahal,66,247.2,"1,834",87,7.42,21.08,17.06,2,1,May-40,99,91,543
Zahir Khan,50,182.1,"1,348",47,7.4,28.68,23.26,0,0,Mar-20,89,53,413
Zaman Khan,13,46.5,387,18,8.26,21.5,15.61,1,0,Apr-16,44,7,100
Ziaur Rahman,20,53.4,443,17,8.25,26.06,18.94,0,0,Mar-18,36,15,104
